序号,名称,学校类别,电话,地址,高校
149,对外经济贸易大学,11普通高等学校：本科院校：大学,64492107,北京市朝阳区惠新东街10号,高校
150,北京服装学院,12普通高等学校：本科院校：学院,64288317,北京市朝阳区樱花东街甲2号,高校
151,北京广播电视大学,46成人高等学校：广播电视大学,82192000,北京市海淀区皂君庙甲4号,高校
152,中科院数学与系统科学研究院,10培养研究生的科研机构,62541832,北京市海淀区中关村东路55号,高校
153,中国科学院力学研究所,10培养研究生的科研机构,82543863,北京市海淀区北四环西路15号,高校
154,中国科学院物理研究所,10培养研究生的科研机构,82649129,北京市海淀区中关村南三街8号,高校
155,中国科学院高能物理研究所,10培养研究生的科研机构,88235646,北京市石景山区玉泉路19号（乙院）,高校
156,中国科学院声学研究所,10培养研究生的科研机构,62572976,北京市海淀区北四环西路21号,高校
157,中国科学院理论物理研究所,10培养研究生的科研机构,62555377,北京市海淀区中关村东路55号,高校
158,中国科学院国家天文台,10培养研究生的科研机构,64877291,北京市朝阳区大屯路甲20号,高校
159,中国科学院自然科学史研究所,10培养研究生的科研机构,57552514,北京市海淀区中关村东路55号,高校
160,中国科学院理化技术研究所,10培养研究生的科研机构,82543622,北京市海淀区中关村北一条2号,高校
161,中科院化学研究所,10培养研究生的科研机构,62544602,北京市海淀区中关村北一街2号,高校
162,中科院过程工程所,10培养研究生的科研机构,62558394,北京市海淀区中关村北二条1号,高校
163,中国科学院生态环境研究中心,10培养研究生的科研机构,62849161,北京市海淀区双清路18号,高校
164,中科院古脊椎所,10培养研究生的科研机构,68351362,北京市西城区西直门外大街142号,高校
165,中国科学院大气物理研究所,10培养研究生的科研机构,82995021,北京市朝阳区华严里40号楼,高校
166,中国科学院地理科学与资源研究所,10培养研究生的科研机构,64888935,北京市朝阳区大屯路甲11号,高校
168,空间科学与应用研究中心,10培养研究生的科研机构,62582784,北京市海淀区中关村南二条1号,高校
169,中国科学院对地观测与数字地球科学中心,10培养研究生的科研机构,58887305,北京市海淀区中关村北一条9号,高校
170,中科院地质与地球物理研究所,10培养研究生的科研机构,82998221,北京市朝阳区北土城西路19号,高校
172,中科院植物研究所,10培养研究生的科研机构,62836601,北京市海淀区香山南辛村20号,高校
173,中国科学院生物物理研究所,10培养研究生的科研机构,64889875,北京市朝阳区大屯路15号,高校
177,中国科学院计算技术研究所,10培养研究生的科研机构,62600432,北京市海淀区中关村科学院南路6号,高校
178,中科院工程热物理研究所,10培养研究生的科研机构,62555952,北京市海淀区北四环西路11号,高校
179,中国科学院半导体研究所,10培养研究生的科研机构,82304321,北京市海淀区清华东路甲35号,高校
180,中科院电子学所,10培养研究生的科研机构,58887026,北京市海淀区北四环西路19号,高校
181,中国科学院自动化研究所,10培养研究生的科研机构,62553991,北京市海淀区中关村东路95号,高校
182,中科院电工研究所,10培养研究生的科研机构,82547015,北京市海淀区中关村北二条6号,高校
183,中科院软件研究所,10培养研究生的科研机构,62561196,北京市海淀区中关村南四街4号,高校
184,中科院文献情报中心,10培养研究生的科研机构,82626389,北京市海淀区中关村北四环西路33号,高校
185,中科院微电子研究所,10培养研究生的科研机构,82995719,北京市朝阳区北土城西路3号,高校
186,中国科学院计算机网络信息中心,10培养研究生的科研机构,58812280,北京市海淀区中关村南四街四号北京349信箱,高校
187,科技政策与管理科学研究所,10培养研究生的科研机构,82640750,北京市海淀区中关村东路55号,高校
188,中国科学院北京基因组研究所,10培养研究生的科研机构,82995374,北京市朝阳区北土城西路7号G座,高校
189,中国科学院研究生院,10培养研究生的科研机构,88256126,北京市石景山区玉泉路19号甲,高校
190,中国科学院青藏高原研究所,10培养研究生的科研机构,62849396,北京市海淀区双清路18号,高校
191,中国科学院光电研究院,10培养研究生的科研机构,62629531,北京市海淀区中关村东路95号,高校
192,国家纳米科学中心,10培养研究生的科研机构,82545546,北京市海淀区中关村北一条11号,高校
194,中国电力科学研究院,10培养研究生的科研机构,82812502,北京市海淀区清河小营东路15号,高校
195,中国北方车辆研究所,10培养研究生的科研机构,83808555,北京市丰台区槐树岭4号,高校
197,北京人文大学,51民办的其他高等教育机构,61160081,北京市顺义区空港开发区裕东路3号,高校
201,交通运输部公路科学研究所,10培养研究生的科研机构,62014137,北京市海淀区西土城路8号,高校
202,北京计算机专修学院,51民办的其他高等教育机构,61225641,北京市大兴区狼垡亿发工业园66号,高校
206,北京信息科技大学,11普通高等学校：本科院校：大学,82426814,北京市海淀区清河小营东路12号,高校
212,北京汇佳职业学院,14普通高等学校：专科院校：高等职业学校,51631166,北京市昌平区中关村科技园昌平园创新路20号,高校
213,清华大学,11普通高等学校：本科院校：大学,62782015,北京市海淀区清华园,高校
214,北京航空航天大学,11普通高等学校：本科院校：大学,82317580,北京市海淀区学院路37号,高校
215,北京科技大学,11普通高等学校：本科院校：大学,62332312,北京市海淀区学院路30号,高校
216,北京林业大学,11普通高等学校：本科院校：大学,62338279,北京市海淀区清华东路35号,高校
217,北京语言大学,11普通高等学校：本科院校：大学,82303033,北京市海淀区学院路15号,高校
218,北京电影学院,12普通高等学校：本科院校：学院,82049512,北京市海淀区西土城路4号,高校
220,中国矿业大学（北京）,11普通高等学校：本科院校：大学,62331203,北京市海淀区学院路丁11号,高校
221,中国地质大学（北京）,11普通高等学校：本科院校：大学,82322005,北京市海淀区学院路29号,高校
222,北京城市学院,12普通高等学校：本科院校：学院,62324350,北京市海淀区北四环中路269号,高校
224,北京印刷学院,12普通高等学校：本科院校：学院,60261013,北京市大兴区兴华北路25号,高校
225,北京石油化工学院,12普通高等学校：本科院校：学院,81292049,北京市大兴区黄村镇清源北路19号,高校
229,北京社会管理职业学院,14普通高等学校：专科院校：高等职业学校,61595435,北京市朝阳区白家庄甲6号,高校
231,北京国际青年研修学院,51民办的其他高等教育机构,64664803,北京市朝阳区亮马桥路40号,高校
232,北京华大研修学院,51民办的其他高等教育机构,84841814,北京市海淀区学清路14号,高校
233,北京文理研修学院,51民办的其他高等教育机构,82331969,北京市海淀区学院路37号院学知楼,高校
234,北京国际汉语学院,51民办的其他高等教育机构,88126899,北京市朝阳区安慧北里逸园1号,高校
236,北方工业大学,11普通高等学校：本科院校：大学,88803055,北京市石景山区晋元庄路5号,高校
237,北京电子科技学院,12普通高等学校：本科院校：学院,63740588,北京市丰台区富丰路7号,高校
238,北京工业职业技术学院,14普通高等学校：专科院校：高等职业学校,51511004,北京市石景山区石门路368号,高校
239,公安部管理干部学院,43成人高等学校：管理干部学院,83903019,北京市西城区木樨地南里1号,高校
240,首钢工学院,12普通高等学校：本科院校：学院,59805996,北京市石景山区阜石路155号,高校
241,中国人民公安大学,11普通高等学校：本科院校：大学,83903019,北京市西城区木樨地南里1号,高校
243,北京外企研修学院,51民办的其他高等教育机构,87723098,北京市朝阳区西大望路15号1502室,高校
245,中关村创新研修学院,51民办的其他高等教育机构,68915151,北京市海淀区中关村南大街3号海淀科技大厦0324,高校
248,北京工业大学,11普通高等学校：本科院校：大学,67392905,北京市朝阳区平乐园100号,高校
249,北京警察学院,12普通高等学校：本科院校：学院,89768000,北京市昌平区南口镇南涧路11号,高校
250,中国防卫科技学院,21普通高等学校：其他机构：分校、大专班,61598861,北京市朝阳区北苑路180号,高校
251,北京联合大学,11普通高等学校：本科院校：大学,64900048,北京市朝阳区北四环东路97号,高校
252,中国农业大学,11普通高等学校：本科院校：大学,62736673,北京市海淀区清华东路17号,高校
253,国际关系学院,12普通高等学校：本科院校：学院,62861317,北京市海淀区坡上村12号,高校
254,中国石油大学,11普通高等学校：本科院校：大学,89733256,北京市昌平区府学路18号,高校
256,北京培黎职业学院,14普通高等学校：专科院校：高等职业学校,82417301,北京市海淀区双清路1号,高校
257,北京新圆明职业学院,14普通高等学校：专科院校：高等职业学校,62406060,北京市海淀区聂各庄东路10号,高校
258,北京大学,11普通高等学校：本科院校：大学,62751201,北京市海淀区颐和园路5号,高校
259,首都医科大学,11普通高等学校：本科院校：大学,63291983,北京市丰台区右安门外西头条10号,高校
262,轻工业环境保护研究所,10培养研究生的科研机构,68429771,北京市海淀区西三环北路27号,高校
263,北京市劳动保护科学研究所,10培养研究生的科研机构,83534899,北京市西城区陶然亭路55号,高校
264,首都儿科研究所,10培养研究生的科研机构,85628194,北京市朝阳区雅宝路2号,高校
265,北京市环境保护科学研究院,10培养研究生的科研机构,68314675,北京市西城区北营房中街59号,高校
266,北京市结核病胸部肿瘤研究所,10培养研究生的科研机构,89509298,北京市通州区北马厂97号,高校
268,市政工程研究所,10培养研究生的科研机构,68334262,北京市西城区百万庄大街3号,高校
269,北京师范大学,11普通高等学校：本科院校：大学,58805502,北京市海淀区新街口外大街19号,高校
270,中央财经大学,11普通高等学校：本科院校：大学,62288261,北京市海淀区学院南路39号,高校
271,北京科技经营管理学院,14普通高等学校：专科院校：高等职业学校,51731618,北京市海淀区三义庙2号院,高校
272,北京外国语大学,11普通高等学校：本科院校：大学,88816899,北京市海淀区西三环北路2号、19号,高校
273,北京交通大学,11普通高等学校：本科院校：大学,51688031,北京市西城区西直门外上园村3号,高校
274,北京理工大学,11普通高等学校：本科院校：大学,68913278,北京市海淀区中关村南大街5号,高校
275,北京邮电大学世纪学院,22普通高等学校：其他机构：独立学院,61227258,北京市大兴区黄村镇狼垡村,高校
276,首都体育学院,12普通高等学校：本科院校：学院,82099007,北京市海淀区北三环西路11号,高校
277,中国人民大学,11普通高等学校：本科院校：大学,82509358,北京市海淀区中关村大街59号,高校
278,北京邮电大学,11普通高等学校：本科院校：大学,62282044,北京市海淀区西土城路10号,高校
281,北京汉语国际推广中心,51民办的其他高等教育机构,68470020,北京市海淀区西三环北路甲105号科原大厦B座12层,高校
283,北京世贤研修学院,51民办的其他高等教育机构,62316246,北京市海淀区二里庄小区24号,高校
284,北京戴尔外语研修学院,51民办的其他高等教育机构,51921915,北京市海淀区中关村南大街2号数码大厦A座5层,高校
285,中央广播电视大学,46成人高等学校：广播电视大学,66490503,北京市西城区复兴门内大街160号,高校
286,北京教育学院,44成人高等学校：教育学院,82089116,北京市西城区德胜门外黄寺大街什坊街2号,高校
287,北京礼仪专修学院,51民办的其他高等教育机构,64897504,北京市朝阳区左家庄15号501室,高校
288,北京珠宝首饰研修学院,51民办的其他高等教育机构,62252893,北京市海淀区杏石口路98号,高校
290,中国教育国际交流研修学院,51民办的其他高等教育机构,83988066,北京市西城区华远北街2号通港大厦925室,高校
291,中国建筑科学研究院,10培养研究生的科研机构,64517741,北京市朝阳区北三环东路30号,高校
292,北京企业管理研修学院,51民办的其他高等教育机构,62985182,北京市海淀区体院西路甲2号,高校
293,北京现代艺术研修学院,51民办的其他高等教育机构,51662930,北京市东城区雍和宫戏楼胡同1号,高校
294,中央党校继续教育学院,41成人高等学校：职工高校,,北京市海淀区大有庄100号,高校
295,中国记协职工新闻学院,41成人高等学校：职工高校,66019616,北京市西城区西郊民巷50号,高校
296,中南海业余大学,41成人高等学校：职工高校,64033094,北京市丰台区富丰路7号,高校
298,中国空间技术研究院,10培养研究生的科研机构,68745111,北京市海淀区知春路82号,高校
97,中国测绘科学研究院,10培养研究生的科研机构,63880811,北京市海淀区莲花池西路28号,高校
23,北京现代职业技术学院,14普通高等学校：专科院校：高等职业学校,69449311,北京市顺义区裕龙花园三街,高校
25,北京青年政治学院,13普通高等学校：专科院校：高等专科学校,64722074,北京市朝阳区花家地街9号,高校
26,中国传媒大学,11普通高等学校：本科院校：大学,65779319,北京市朝阳区定福庄东街1号,高校
29,北京工业大学通州分校,21普通高等学校：其他机构：分校、大专班,52334003,北京市通州区潞苑南大街1145号,高校
32,北京第二外国语学院,12普通高等学校：学院,65778005,北京市朝阳区定福庄南里1号,高校
17,北京舞蹈学院,12普通高等学校：本科院校：学院,68935693,北京市海淀区万寿寺路1号,高校
40,冶金自动化研究设计院,10培养研究生的科研机构,63812255-3215,北京市丰台区,高校
48,北京长城计量测试技术研究所,10培养研究生的科研机构,62462057,北京市海淀区温泉镇环山村,高校
5,北京华夏管理学院,51民办的其他高等教育机构,61985200,北京市平谷区马昌营镇南定福东路169号,高校
67,中国原子能科学研究院,10培养研究生的科研机构,69357800,北京市房山区新镇,高校
289,北京影视研修学院,51民办的其他高等教育机构,69281885,北京市大兴区南宫北普陀影视城内,高校
79,中国林业科学研究院,10培养研究生的科研机构,62889029,北京市海淀区,高校
